date_iso,timestamp_utc,price,block_height,days_ago,daily_dca_basis,weekly_dca_basis,monthly_dca_basis
2015-09-17,2015-09-17 23:50:00+00:00,232.7716151934,374996,3888,2782.5696108155,2716.2605395702,2574.8695262237
2015-09-18,2015-09-18 23:50:00+00:00,233.4560018543,375144,3887,2790.4334184110,2767.4459653890,2574.8695262237
2015-09-19,2015-09-19 23:50:00+00:00,231.7295349160,375268,3886,2798.3205031519,2767.4459653890,2574.8695262237
2015-09-20,2015-09-20 23:50:00+00:00,230.6853572068,375396,3885,2806.3210856523,2767.4459653890,2574.8695262237
2015-09-21,2015-09-21 23:50:00+00:00,226.6662632337,375529,3884,2814.4115378029,2767.4459653890,2574.8695262237
2015-09-22,2015-09-22 23:50:00+00:00,230.6106869026,375684,3883,2822.7106878439,2767.4459653890,2574.8695262237
2015-09-23,2015-09-23 23:50:00+00:00,229.8297851347,375844,3882,2830.9074524549,2767.4459653890,2574.8695262237
2015-09-24,2015-09-24 23:50:00+00:00,234.4753888263,375982,3881,2839.1868233298,2767.4459653890,2574.8695262237
2015-09-25,2015-09-25 23:50:00+00:00,235.2908548006,376147,3880,2847.3389288422,2822.6491021383,2574.8695262237
2015-09-26,2015-09-26 23:50:00+00:00,234.5934120623,376295,3879,2855.5111516587,2822.6491021383,2574.8695262237
2015-09-27,2015-09-27 23:50:00+00:00,233.1806843495,376443,3878,2863.7613920597,2822.6491021383,2574.8695262237
2015-09-28,2015-09-28 23:50:00+00:00,239.4748864357,376585,3877,2872.1186852738,2822.6491021383,2574.8695262237
2015-09-29,2015-09-29 23:50:00+00:00,237.0919832032,376759,3876,2880.2879744435,2822.6491021383,2574.8695262237
2015-09-30,2015-09-30 23:50:00+00:00,236.8536879671,376906,3875,2888.5984900731,2822.6491021383,2574.8695262237
2015-10-01,2015-10-01 23:50:00+00:00,237.8207562509,377056,3874,2896.9706217348,2822.6491021383,2799.9665778206
2015-10-02,2015-10-02 23:50:00+00:00,238.1753007304,377193,3873,2905.3583677317,2879.8108791437,2799.9665778206
2015-10-03,2015-10-03 23:50:00+00:00,239.5604013208,377339,3872,2913.7854712325,2879.8108791437,2799.9665778206
2015-10-04,2015-10-04 23:50:00+00:00,239.3348115394,377493,3871,2922.2124429868,2879.8108791437,2799.9665778206
2015-10-05,2015-10-05 23:50:00+00:00,240.7845359196,377645,3870,2930.7014247994,2879.8108791437,2799.9665778206
2015-10-06,2015-10-06 23:50:00+00:00,246.7720171677,377788,3869,2939.1881262574,2879.8108791437,2799.9665778206
2015-10-07,2015-10-07 23:50:00+00:00,243.3066364293,377921,3868,2947.5022013346,2879.8108791437,2799.9665778206
2015-10-08,2015-10-08 23:50:00+00:00,242.9524075127,378058,3867,2955.9981940937,2879.8108791437,2799.9665778206
2015-10-09,2015-10-09 23:50:00+00:00,244.4255139081,378188,3866,2964.5613630035,2938.7513904812,2799.9665778206
2015-10-10,2015-10-10 23:50:00+00:00,245.9098072069,378348,3865,2973.1220238752,2938.7513904812,2799.9665778206
2015-10-11,2015-10-11 23:50:00+00:00,248.9401930674,378494,3864,2981.6799195347,2938.7513904812,2799.9665778206
2015-10-12,2015-10-12 23:50:00+00:00,246.2061722131,378634,3863,2990.1771119543,2938.7513904812,2799.9665778206
2015-10-13,2015-10-13 23:50:00+00:00,250.0391563718,378772,3862,2998.8311802808,2938.7513904812,2799.9665778206
2015-10-14,2015-10-14 23:50:00+00:00,253.1220307936,378922,3861,3007.3941499558,2938.7513904812,2799.9665778206
2015-10-15,2015-10-15 23:50:00+00:00,254.6331816684,379091,3860,3015.8958530727,2938.7513904812,2799.9665778206
2015-10-16,2015-10-16 23:50:00+00:00,262.7845342955,379233,3859,3024.3946295042,2998.6322063041,2799.9665778206
2015-10-17,2015-10-17 23:50:00+00:00,272.5708393361,379370,3858,3032.6554542446,2998.6322063041,2799.9665778206
2015-10-18,2015-10-18 23:50:00+00:00,264.1076345504,379515,3857,3040.6383071798,2998.6322063041,2799.9665778206
2015-10-19,2015-10-19 23:50:00+00:00,264.3202634397,379681,3856,3048.9508696294,2998.6322063041,2799.9665778206
2015-10-20,2015-10-20 23:50:00+00:00,270.7099906979,379809,3855,3057.3059696954,2998.6322063041,2799.9665778206
2015-10-21,2015-10-21 23:50:00+00:00,268.2452290712,379952,3854,3065.4936037964,2998.6322063041,2799.9665778206
2015-10-22,2015-10-22 23:50:00+00:00,275.5590833283,380099,3853,3073.8127243691,2998.6322063041,2799.9665778206
2015-10-23,2015-10-23 23:50:00+00:00,278.6980507749,380248,3852,3081.9374722079,3056.3816893793,2799.9665778206
2015-10-24,2015-10-24 23:50:00+00:00,283.6091613210,380395,3851,3090.0081939300,3056.3816893793,2799.9665778206
2015-10-25,2015-10-25 23:50:00+00:00,284.2626360068,380550,3850,3097.9706258571,3056.3816893793,2799.9665778206
2015-10-26,2015-10-26 23:50:00+00:00,286.8654745609,380713,3849,3105.9580531859,3056.3816893793,2799.9665778206
2015-10-27,2015-10-27 23:50:00+00:00,295.2009331241,380860,3848,3113.9105246979,3056.3816893793,2799.9665778206
2015-10-28,2015-10-28 23:50:00+00:00,304.8074503551,381000,3847,3121.6586356430,3056.3816893793,2799.9665778206
2015-10-29,2015-10-29 23:50:00+00:00,315.2108760790,381151,3846,3129.1776213860,3056.3816893793,2799.9665778206
2015-10-30,2015-10-30 23:50:00+00:00,328.9191848347,381320,3845,3136.4597969955,3112.7890593997,2799.9665778206
2015-10-31,2015-10-31 23:50:00+00:00,312.1089921374,381469,3844,3143.4398483394,3112.7890593997,2799.9665778206
2015-11-01,2015-11-01 23:50:00+00:00,328.4881524558,381619,3843,3150.8776654981,3112.7890593997,3059.5049176691
2015-11-02,2015-11-02 23:50:00+00:00,362.9529897207,381774,3842,3157.9399261581,3112.7890593997,3059.5049176691
2015-11-03,2015-11-03 23:50:00+00:00,403.6076001553,381929,3841,3164.2838876322,3112.7890593997,3059.5049176691
2015-11-04,2015-11-04 23:50:00+00:00,408.4031631733,382085,3840,3169.9303266450,3112.7890593997,3059.5049176691
2015-11-05,2015-11-05 23:50:00+00:00,385.7126493515,382229,3839,3175.5234891778,3112.7890593997,3059.5049176691
2015-11-06,2015-11-06 23:50:00+00:00,374.4413924060,382372,3838,3181.5191968945,3161.5289493797,3059.5049176691
2015-11-07,2015-11-07 23:50:00+00:00,385.7626579059,382526,3837,3187.7473990368,3161.5289493797,3059.5049176691
2015-11-08,2015-11-08 23:50:00+00:00,372.8669537419,382667,3836,3193.7948729195,3161.5289493797,3059.5049176691
2015-11-09,2015-11-09 23:50:00+00:00,378.9505953653,382816,3835,3200.1078955701,3161.5289493797,3059.5049176691
2015-11-10,2015-11-10 23:50:00+00:00,335.7963671705,382961,3834,3206.3337839572,3161.5289493797,3059.5049176691
2015-11-11,2015-11-11 23:50:00+00:00,310.2309524423,383130,3833,3213.5006087273,3161.5289493797,3059.5049176691
2015-11-12,2015-11-12 23:50:00+00:00,338.6393034806,383291,3832,3221.3677519250,3161.5289493797,3059.5049176691
2015-11-13,2015-11-13 23:50:00+00:00,337.0562129246,383451,3831,3228.5417395845,3205.0623592875,3059.5049176691
